symbol,matched,live_entry,bt_entry,entry_gap_min,live_entry_px,bt_entry_px,entry_px_diff_bps,live_exit_px,bt_exit_px,exit_px_diff_bps,live_hold_h,bt_hold_h,live_pnl_pct,bt_pnl_pct
LCID,False,2026-08-14 13:45:35.775398+00:00,,,,,,,,,,,,
LCID,False,2026-08-14 13:45:35.775398+00:00,,,,,,,,,,,,
LCID,False,2026-08-14 13:45:35.775398+00:00,,,,,,,,,,,,
LLY,False,2026-06-08 14:10:15.683880+00:00,,,,,,,,,,,,
LLY,False,2026-06-08 14:10:15.683880+00:00,,,,,,,,,,,,
LRCX,True,2026-06-08 13:45:57.573472+00:00,2026-06-08 13:40:00+00:00,-5.959557866666667,321.12,320.1435262252461,-30.408376144553838,359.59,333.2641578286175,-732.1071823850073,77.5260221638889,25.083333333333332,0.1197994519182859,0.0409835918223128
MARA,False,2026-03-13 19:23:17.010106+00:00,,,,,,,,,,,,
MARA,False,2026-03-13 19:23:17.010106+00:00,,,,,,,,,,,,
MARA,False,2026-03-23 17:20:54.353523+00:00,,,,,,,,,,,,
MARA,True,2026-03-26 13:55:03.481644+00:00,2026-03-26 13:45:00+00:00,-10.058027399999999,9.07,9.150143271896432,88.36082899275866,8.61,8.648524087790815,44.7434236827123,3.928830136944444,4.083333333333333,-0.0507166482910695,-0.0548209103617296
MARA,False,2026-03-26 13:55:04.567320+00:00,,,,,,,,,,,,
MARA,False,2026-03-26 13:55:04.873115+00:00,,,,,,,,,,,,
MARA,False,2026-03-26 13:55:05.630673+00:00,,,,,,,,,,,,
MARA,False,2026-03-26 13:55:06.164333+00:00,,,,,,,,,,,,
MARA,False,2026-04-06 13:51:04.859406+00:00,,,,,,,,,,,,
MARA,False,2026-04-06 13:51:05.528827+00:00,,,,,,,,,,,,
MARA,False,2026-04-06 13:51:05.528827+00:00,,,,,,,,,,,,
MARA,False,2026-04-06 13:51:06.435053+00:00,,,,,,,,,,,,
MARA,False,2026-04-06 13:51:06.435053+00:00,,,,,,,,,,,,
MARA,False,2026-04-06 13:51:06.435053+00:00,,,,,,,,,,,,
MARA,False,2026-04-06 13:51:06.435053+00:00,,,,,,,,,,,,
MARA,False,2026-04-09 13:57:18.455231+00:00,,,,,,,,,,,,
MARA,False,2026-04-22 16:26:24.957884+00:00,,,,,,,,,,,,
MARA,False,2026-04-22 16:26:25.534346+00:00,,,,,,,,,,,,
MARA,False,2026-04-22 16:26:25.534346+00:00,,,,,,,,,,,,
MARA,False,2026-05-07 14:32:54.538362+00:00,,,,,,,,,,,,
MARA,False,2026-05-07 14:32:55.766121+00:00,,,,,,,,,,,,
MARA,True,2026-06-08 13:50:08.009716+00:00,2026-06-08 13:40:00+00:00,-10.133495266666667,12.84,12.852146360473784,9.459782300454597,14.47,13.747413861955373,-499.3684437074139,97.13544441361113,25.083333333333332,0.1269470404984424,0.069658987407344
MARA,False,2026-06-08 13:50:08.009716+00:00,,,,,,,,,,,,
MARA,False,2026-06-08 13:50:08.009716+00:00,,,,,,,,,,,,
MARA,True,2026-06-16 14:19:46.204278+00:00,2026-06-16 13:40:00+00:00,-39.770071300000005,14.89,14.904052734852309,9.437699699333976,14.08,14.423349177018526,243.85594958702129,29.332882683333334,8.083333333333334,-0.0543989254533244,-0.0322532110148592
MARA,False,2026-06-16 14:19:47.143040+00:00,,,,,,,,,,,,
MARA,False,2026-06-16 14:19:47.601666+00:00,,,,,,,,,,,,
MARA,False,2026-06-16 14:19:47.601666+00:00,,,,,,,,,,,,
MARA,False,2026-06-16 14:19:48.125248+00:00,,,,,,,,,,,,
