symbol,entry_time,exit_time,entry_price,exit_price,qty,pnl,pnl_pct,hold_hours,same_day_round_trip,entry_extended_hours,exit_extended_hours,source
RIOT,2026-08-24 14:06:24.378545+00:00,2026-08-26 13:39:15.505030+00:00,20.13,20.73,25.0,15.000000000000036,0.02980625931445611,47.54753513472222,False,True,False,live
WOLF,2026-08-26 17:07:35.111430+00:00,2026-08-27 13:36:00.375199+00:00,26.35,26.72,428.0,158.3599999999989,0.014041745730550188,20.473684380277778,False,True,False,live
WOLF,2026-08-26 17:07:34.642648+00:00,2026-08-27 13:36:00.375199+00:00,26.35,26.72,278.0,102.85999999999929,0.014041745730550188,20.4738145975,False,True,False,live
WOLF,2026-08-26 17:07:34.477597+00:00,2026-08-27 13:36:00.375199+00:00,26.35,26.72,148.0,54.75999999999962,0.014041745730550188,20.473860445,False,True,False,live
WOLF,2026-08-26 17:07:33.882574+00:00,2026-08-27 13:36:00.375199+00:00,26.35,26.72,377.0,139.48999999999904,0.014041745730550188,20.474025729166666,False,True,False,live
WOLF,2026-08-26 17:07:33.315060+00:00,2026-08-27 13:36:00.375199+00:00,26.35,26.72,214.0,79.17999999999945,0.014041745730550188,20.47418337194444,False,True,False,live
WOLF,2026-08-26 17:07:34.039336+00:00,2026-08-27 13:36:00.375199+00:00,26.35,26.72,461.0,170.56999999999883,0.014041745730550188,20.473982184166665,False,True,False,live
CIFR,2026-08-26 14:31:56.461440+00:00,2026-08-27 15:47:56.225669+00:00,16.01,16.76,1516.0,1137.0,0.04684572142410993,25.26660117472222,False,True,False,live
HUT,2026-08-26 14:25:42.632091+00:00,2026-08-27 16:02:49.507291+00:00,85.67,86.2,288.0,152.64000000000033,0.0061865297070153044,25.618576444444443,False,True,False,live
HUT,2026-08-26 14:25:43.564151+00:00,2026-08-27 16:02:49.507291+00:00,85.67,86.2,251.0,133.03000000000029,0.0061865297070153044,25.61831753888889,False,True,False,live
HUT,2026-08-26 14:25:43.564151+00:00,2026-08-27 16:02:50.186526+00:00,85.67,86.2,37.0,19.610000000000042,0.0061865297070153044,25.61850621527778,False,True,False,live
WULF,2026-08-26 14:22:36.167978+00:00,2026-08-27 16:19:09.361757+00:00,16.27,16.61,583.0,198.2199999999999,0.020897357098955124,25.9425538275,False,True,False,live
WULF,2026-08-26 14:22:36.476708+00:00,2026-08-27 16:19:09.361757+00:00,16.27,16.61,889.0,302.2599999999999,0.020897357098955124,25.94246806916667,False,True,False,live
WULF,2026-08-26 14:22:36.476708+00:00,2026-08-27 16:19:09.879250+00:00,16.27,16.61,260.0,88.39999999999996,0.020897357098955124,25.94261181722222,False,True,False,live
WULF,2026-08-26 14:22:36.804773+00:00,2026-08-27 16:19:10.832998+00:00,16.27,16.61,937.0,318.57999999999987,0.020897357098955124,25.942785618055556,False,True,False,live
WULF,2026-08-26 14:22:36.476708+00:00,2026-08-27 16:19:10.832998+00:00,16.27,16.61,370.0,125.79999999999995,0.020897357098955124,25.942876747222222,False,True,False,live
AMD,2026-08-20 14:00:09.715478+00:00,2026-08-27 16:22:16.025247+00:00,466.4,471.51,17.0,86.87000000000023,0.010956260720411693,170.3684193802778,False,True,False,live
AMD,2026-08-20 14:00:11.616061+00:00,2026-08-27 16:22:16.025247+00:00,466.39,471.51,43.0,220.1600000000002,0.010977936919745288,170.36789144055555,False,True,False,live
NKE,2026-07-01 13:36:39.902709+00:00,2026-08-27 17:55:52.985739+00:00,40.22,38.24,247.0,-489.0599999999992,-0.049229239184485254,1372.3203008416667,False,True,False,live
NKE,2026-07-01 13:36:39.902709+00:00,2026-08-27 17:55:53.808403+00:00,40.22,38.24,333.0,-659.339999999999,-0.049229239184485254,1372.3205293594447,False,True,False,live
